Sub Region,MY,ADR,LOS,Occupancy
Aldinga,January-2023,272.6,5.8,76
Aldinga,February-2023,227.7,3.9,58
Aldinga,March-2023,229.2,3.6,60
Aldinga,April-2023,257.2,4.9,68
Aldinga,May-2023,240.7,4.6,47
Aldinga,June-2023,234.7,3.8,44
Aldinga,July-2023,235.2,4.7,46
Aldinga,August-2023,234.5,3.9,41
Aldinga,September-2023,257.8,4.4,43
Aldinga,October-2023,267.9,4.3,52
Aldinga,November-2023,252.9,4.2,44
Christies Beach,January-2023,199.4,35.1,80
Christies Beach,February-2023,166.9,20.4,72
Christies Beach,March-2023,170.7,8.4,76
Christies Beach,April-2023,178.4,4.2,72
Christies Beach,May-2023,150.8,4.9,48
Christies Beach,June-2023,153.8,15.6,62
Christies Beach,July-2023,149.1,22.2,59
Christies Beach,August-2023,153.1,5.4,60
Christies Beach,September-2023,159,8.8,69
Christies Beach,October-2023,159.6,7.6,71
Christies Beach,November-2023,159.3,5.9,55
Clarendon,January-2023,167.4,6.5,57
Clarendon,February-2023,171.3,2.2,40
Clarendon,March-2023,175,3.6,53
Clarendon,April-2023,182.1,3.7,52
Clarendon,May-2023,165.8,2.8,40
Clarendon,June-2023,164.8,8.4,26
Clarendon,July-2023,149.1,6.2,47
Clarendon,August-2023,150.2,2.5,55
Clarendon,September-2023,170.4,2.6,35
Clarendon,October-2023,173.3,2.4,27
Clarendon,November-2023,168.6,2.5,12
McLaren Vale/Flat,January-2023,263.7,2.9,71
McLaren Vale/Flat,February-2023,256.3,2.1,54
McLaren Vale/Flat,March-2023,265.5,2,58
McLaren Vale/Flat,April-2023,266.9,2.2,65
McLaren Vale/Flat,May-2023,253.7,2.2,48
McLaren Vale/Flat,June-2023,247,2.4,53
McLaren Vale/Flat,July-2023,255.1,2.5,54
McLaren Vale/Flat,August-2023,262.6,2.2,43
McLaren Vale/Flat,September-2023,257.2,2.5,54
McLaren Vale/Flat,October-2023,269.2,2.1,51
McLaren Vale/Flat,November-2023,263.4,2.7,46
Port Noarlunga,January-2023,177.3,7.3,67
Port Noarlunga,February-2023,170,6.9,57
Port Noarlunga,March-2023,199.9,4.5,65
Port Noarlunga,April-2023,210.8,4.6,66
Port Noarlunga,May-2023,186.4,3.3,44
Port Noarlunga,June-2023,182,5,43
Port Noarlunga,July-2023,159.7,3,48
Port Noarlunga,August-2023,170.8,3.5,29
Port Noarlunga,September-2023,188.6,4.6,59
Port Noarlunga,October-2023,180.7,4.6,49
Port Noarlunga,November-2023,256.3,8.4,20
