Suburb Name,Alternative Lodging,Hotels & Motels,Other,Outdoor & Camping,Vacation Rentals,Avg. Rating,Review Count,Rooms
Anduramba,,,0,,,,,
Atkinsons Dam,,,,2,,3.85,"7,175",250
Avoca Vale,,,0,,,,,
Banks Creek,,,0,,,,,
Bellthorpe,,,0,,,,,
Benarkin,,,0,,,,,
Benarkin North,,,0,,,,,
Biarra,2,,,1,,4.9,"1,175",950
Borallon,,,0,,,,,
Braemore,,,0,,,,,
Brightview,,,0,,,,,
Bryden,,,0,,,,,
Buaraba,,,0,,,,,
Buaraba South,,,0,,,,,
Bullcamp,,,0,,,,,
Caboonbah,,,0,,,,,
Cherry Creek,,,0,,,,,
Churchable,1,,,,,0,,150
Clarendon,,,,,1,5,25,25
Coal Creek,,,0,,,,,
Colinton,,,,2,,4.45,"3,375",
Conondale,,,0,,,,,
Cooeeimbardi,,,0,,,,,
Coolana,,,0,,,,,
Coominya,1,,,1,,4.9,525,425
Cressbrook,,,0,,,,,
Cressbrook Creek,,,0,,,,,
Crossdale,,,,1,,4.6,"1,325",350
Dundas,,,,1,,4.2,425,75
East Nanango,,,0,,,,,
Elgin Vale,,,0,,,,,
England Creek,,,0,,,,,
Esk,1,4,,2,1,4.325,"43,450","1,875"
Eskdale,,,0,,,,,
Fairney View,,,0,,,,,
Fernvale,,,0,,,,,
Fulham,,,0,,,,,
Glamorgan Vale,,,0,,,,,
Glen Esk,,,0,,,,,
Glenfern,,,0,,,,,
Gregors Creek,,,0,,,,,
Haigslea,,,0,,,,,
Harlin,,1,,,,4.6,"3,200",125
Hatton Vale,,,0,,,,,
Hazeldean,,2,,,1,4.8,"19,700","1,075"
Ironbark,,,0,,,,,
Ivory Creek,,1,,,,5,625,25
Jimna,,,,1,,4.6,"1,800","1,250"
Johnstown,,,0,,,,,
Kenilworth,,,0,,,,,
Kholo,,,0,,,,,
Kilcoy,,3,,,,4.433333333,"9,750",900
Kingaham,,,0,,,,,
Kobble Creek,,,0,,,,,
Laceys Creek,,,0,,,,,
Lake Borumba,,,0,,,,,
Lake Manchester,,,0,,,,,
Lake Wivenhoe,,,0,,,,,
Lark Hill,,,0,,,,,
Linville,1,2,,,,3.166666667,"14,900",300
Lockrose,,,0,,,,,
Lower Cressbrook,,,0,,,,,
Lowood,,1,,1,,4.3,"19,300",275
Lynford,,,0,,,,,
Manumbar,,,0,,,,,
Marburg,,,0,,,,,
Minden,,,,1,,5,25,100
Monsildale,,,0,,,,,
Moombra,,,0,,,,,
Moore,3,,,,,3.266666667,"1,075",175
Mount Archer,,,,2,,4.55,"15,075","3,200"
Mount Beppo,,,0,,,,,
Mount Byron,,,,1,,4.7,175,"1,350"
Mount Delaney,,,0,,,,,
Mount Glorious,,,0,,,,,
Mount Hallen,,,0,,,,,
Mount Kilcoy,,,,1,,4,425,
Mount Mee,,,0,,,,,
Mount Pleasant,,,0,,,,,
Mount Stanley,,,0,,,,,
Mount Tarampa,,,,1,,4.6,225,
Murrumba,,,0,,,,,
Neurum,,,0,,,,,
Ottaba,,,0,,,,,
Patrick Estate,,,0,,,,,
Pine Mountain,,,0,,,,,
Prenzlau,,,0,,,,,
Ravensbourne,,,0,,,,,
Redbank Creek,3,,,1,,5,150,225
Rifle Range,,,0,,,,,
Royston,,,,,1,5,50,25
Runnymede,,,0,,,,,
Sandy Creek,,,,1,1,2.1,"3,050",75
Scrub Creek,,,0,,,,,
Sheep Station Creek,,,0,,,,,
Somerset Dam,1,1,,,,4.75,375,200
Split Yard Creek,,,0,,,,,
Spring Creek,,,0,,,,,
Stony Creek,,,0,,,,,
Tallegalla,,,0,,,,,
Tarampa,1,,,,,4.5,800,75
Taromeo,,,0,,,,,
The Bluff,,,0,,,,,
Toogoolawah,,4,,1,,4.4,"12,825",500
Upper Kandanga,,,0,,,,,
Vernor,,,0,,,,,
Villeneuve,,,0,,,,,
Wanora,,,0,,,,,
Westvale,,,0,,,,,
Winya,,,0,,,,,
Wivenhoe Hill,,,0,,,,,
Wivenhoe Pocket,,,0,,,,,
Woolmar,,,0,,,,,
Wyalla,,,0,,,,,
Yimbun,,,0,,,,,
