Tr_Name,Park_Tourism_Region,Last_Yr,This_Yr,Percent_Change
Adelaide,All,"7,396","7,582",2.514872904
Adelaide,Brisbane,236,182,-22.88135593
Adelaide,Bundaberg,38,20,-47.36842105
Adelaide,Central Queensland,588,450,-23.46938776
Adelaide,Darling Downs,132,168,27.27272727
Adelaide,Fraser Coast,"1,680","2,268",35
Adelaide,Gold Coast,140,184,31.42857143
Adelaide,"Launceston, Tamar and the North",46,94,104.3478261
Adelaide,Mackay,290,248,-14.48275862
Adelaide,Outback,532,490,-7.894736842
Adelaide,Queensland Country,0,8,100
Adelaide,Sunshine Coast,948,"1,328",40.08438819
Adelaide,Townsville,274,266,-2.919708029
Adelaide,Tropical North Queensland,"2,218","1,796",-19.02614968
Adelaide,Whitsundays,274,80,-70.80291971
Adelaide Hills,All,"2,494","1,904",-23.65677626
Adelaide Hills,Brisbane,6,32,433.3333333
Adelaide Hills,Bundaberg,10,30,200
Adelaide Hills,Central Queensland,110,244,121.8181818
Adelaide Hills,Darling Downs,52,86,65.38461538
Adelaide Hills,Fraser Coast,768,846,10.15625
Adelaide Hills,Gold Coast,48,16,-66.66666667
Adelaide Hills,"Launceston, Tamar and the North",8,20,150
Adelaide Hills,Mackay,36,54,50
Adelaide Hills,Outback,238,70,-70.58823529
Adelaide Hills,Sunshine Coast,170,118,-30.58823529
Adelaide Hills,Townsville,84,56,-33.33333333
Adelaide Hills,Tropical North Queensland,916,332,-63.75545852
Adelaide Hills,Whitsundays,48,0,-100
Australia's Coral Coast,All,"1,118","1,858",66.18962433
Australia's Coral Coast,Brisbane,0,20,100
Australia's Coral Coast,Bundaberg,16,0,-100
Australia's Coral Coast,Central Queensland,58,144,148.2758621
Australia's Coral Coast,Darling Downs,0,36,100
Australia's Coral Coast,Fraser Coast,372,528,41.93548387
Australia's Coral Coast,Gold Coast,20,40,100
Australia's Coral Coast,"Launceston, Tamar and the North",4,42,950
Australia's Coral Coast,Mackay,20,10,-50
Australia's Coral Coast,Outback,0,16,100
Australia's Coral Coast,Sunshine Coast,148,598,304.0540541
Australia's Coral Coast,Townsville,78,114,46.15384615
Australia's Coral Coast,Tropical North Queensland,390,298,-23.58974359
Australia's Coral Coast,Whitsundays,12,12,0
Australia's Golden Outback,All,972,692,-28.80658436
Australia's Golden Outback,Central Queensland,28,52,85.71428571
Australia's Golden Outback,Darling Downs,0,42,100
Australia's Golden Outback,Fraser Coast,238,174,-26.8907563
Australia's Golden Outback,Gold Coast,4,8,100
Australia's Golden Outback,"Launceston, Tamar and the North",2,0,-100
Australia's Golden Outback,Mackay,16,32,100
Australia's Golden Outback,Outback,32,8,-75
Australia's Golden Outback,Sunshine Coast,206,108,-47.57281553
Australia's Golden Outback,Townsville,70,90,28.57142857
Australia's Golden Outback,Tropical North Queensland,366,162,-55.73770492
Australia's Golden Outback,Whitsundays,10,16,60
Australia's North West,All,960,"1,044",8.75
Australia's North West,Brisbane,10,6,-40
Australia's North West,Bundaberg,2,0,-100
Australia's North West,Central Queensland,68,80,17.64705882
Australia's North West,Darling Downs,12,2,-83.33333333
Australia's North West,Fraser Coast,246,190,-22.76422764
Australia's North West,Gold Coast,24,2,-91.66666667
Australia's North West,"Launceston, Tamar and the North",0,34,100
Australia's North West,Mackay,18,46,155.5555556
Australia's North West,Outback,88,34,-61.36363636
Australia's North West,Sunshine Coast,172,140,-18.60465116
Australia's North West,Townsville,44,64,45.45454545
Australia's North West,Tropical North Queensland,276,430,55.79710145
Australia's North West,Whitsundays,0,16,100
Australia's South West,All,"2,718","3,178",16.92420898
Australia's South West,Brisbane,14,20,42.85714286
Australia's South West,Bundaberg,0,4,100
Australia's South West,Central Queensland,268,220,-17.91044776
