Tr_Name,Park,Park_Tourism_Region,Visitor_State,Last_12_Months,Prior_12_Months,Pct_Change,Difference
Adelaide,Abergowrie State Forest,Townsville,SA,17,10,70,7
Adelaide,Amamoor State Forest and Forest Reserve,Sunshine Coast,SA,20,11,81.81818182,9
Adelaide,Auburn River National Park,Bundaberg,SA,5,9,-44.44444444,-4
Adelaide,Beerburrum and Beerwah State Forests,Sunshine Coast,SA,61,47,29.78723404,14
Adelaide,Benarkin State Forest,Darling Downs,SA,4,2,100,2
Adelaide,Blackbraes National Park,Tropical North Queensland,SA,16,7,128.5714286,9
Adelaide,Blackdown Tableland National Park,Central Queensland,SA,26,22,18.18181818,4
Adelaide,Bladensburg National Park,Outback,SA,15,24,-37.5,-9
Adelaide,Boodjamulla (Lawn Hill) National Park,Tropical North Queensland,SA,0,115,-100,-115
Adelaide,Bowling Green Bay National Park,Townsville,SA,0,2,-100,-2
Adelaide,Bribie Island Recreation Area,Brisbane,SA,7,14,-50,-7
Adelaide,Brooyar State Forest,"Launceston, Tamar and the North",SA,34,11,209.0909091,23
Adelaide,Bunya Mountains National Park,Darling Downs,SA,37,26,42.30769231,11
Adelaide,Burrum Coast National Park,Fraser Coast,SA,37,21,76.19047619,16
Adelaide,Byfield National Park,Central Queensland,SA,6,0,100,6
Adelaide,Byfield State Forest,Central Queensland,SA,45,85,-47.05882353,-40
Adelaide,Canyon Resources Reserve,Tropical North Queensland,SA,0,1,-100,-1
Adelaide,Cape Hillsborough National Park,Mackay,SA,11,22,-50,-11
Adelaide,Cape Melville National Park (CYPAL),Tropical North Queensland,SA,12,36,-66.66666667,-24
Adelaide,Cape Palmerston National Park,Mackay,SA,4,0,100,4
Adelaide,Capricornia Cays National Park,Central Queensland,SA,0,6,-100,-6
Adelaide,Carnarvon Great Walk,Central Queensland,SA,0,14,-100,-14
Adelaide,Carnarvon National Park,Central Queensland,SA,34,40,-15,-6
Adelaide,Cathu State Forest,Mackay,SA,4,1,300,3
Adelaide,Conondale National Park,Sunshine Coast,SA,23,30,-23.33333333,-7
Adelaide,Conondale Range Great Walk,Sunshine Coast,SA,28,0,100,28
Adelaide,Cooloola Great Walk,Sunshine Coast,SA,26,16,62.5,10
Adelaide,Cooloola Recreation Area,Sunshine Coast,SA,125,78,60.25641026,47
Adelaide,Crediton State Forest,Mackay,SA,2,18,-88.88888889,-16
Adelaide,Crows Nest National Park,Darling Downs,SA,4,17,-76.47058824,-13
Adelaide,Currawinya National Park,Outback,SA,55,18,205.5555556,37
Adelaide,Curtis Island National Park and Conservation Park,Central Queensland,SA,2,0,100,2
Adelaide,D'Aguilar National Park,Brisbane,SA,6,9,-33.33333333,-3
Adelaide,Daintree National Park,Tropical North Queensland,SA,0,83,-100,-83
Adelaide,Daintree National Park (CYPAL),Tropical North Queensland,SA,78,0,100,78
Adelaide,Dalrymple National Park,Townsville,SA,0,2,-100,-2
Adelaide,Danbulla National Park,Tropical North Queensland,SA,116,112,3.571428571,4
Adelaide,Davies Creek National Park,Tropical North Queensland,SA,12,2,500,10
Adelaide,Deepwater National Park,Central Queensland,SA,23,30,-23.33333333,-7
Adelaide,Diamantina National Park,Outback,SA,30,30,0,0
Adelaide,Dinden National Park,Tropical North Queensland,SA,0,4,-100,-4
Adelaide,Eungella National Park,Mackay,SA,96,82,17.07317073,14
Adelaide,Eurimbula National Park,Central Queensland,SA,16,19,-15.78947368,-3
Adelaide,Expedition National Park,Central Queensland,SA,6,5,20,1
Adelaide,Forest Den National Park,Outback,SA,1,0,100,1
Adelaide,Frankland Group National Park,Tropical North Queensland,SA,9,0,100,9
Adelaide,Girramay National Park,Tropical North Queensland,SA,56,58,-3.448275862,-2
Adelaide,Girraween National Park,Darling Downs,SA,25,11,127.2727273,14
Adelaide,Girringun National Park,Tropical North Queensland,SA,62,74,-16.21621622,-12
Adelaide,Glen Rock State Forest,Brisbane,SA,0,4,-100,-4
Adelaide,Gold Coast Hinterland Great Walk,Gold Coast,SA,2,3,-33.33333333,-1
Adelaide,Heathlands Resources Reserve,Tropical North Queensland,SA,10,12,-16.66666667,-2
Adelaide,Hell Hole Gorge National Park,Outback,SA,6,2,200,4
Adelaide,Hinchinbrook Island National Park,Tropical North Queensland,SA,0,22,-100,-22
Adelaide,"Hinchinbrook Island NP, Thorsborne Trail",Tropical North Queensland,SA,18,29,-37.93103448,-11
Adelaide,Idalia National Park,Outback,SA,8,4,100,4
Adelaide,Imbil State Forest,"Launceston, Tamar and the North",SA,16,13,23.07692308,3
Adelaide,Inskip Peninsula Recreation Area,Sunshine Coast,SA,333,298,11.74496644,35
Adelaide,Isla Gorge National Park,Central Queensland,SA,9,12,-25,-3
Adelaide,Jardine River National Park,Tropical North Queensland,SA,112,103,8.737864078,9
Adelaide,Jimna State Forest,"Launceston, Tamar and the North",SA,8,0,100,8
Adelaide,K'gari (Fraser Island) Great Walk,Fraser Coast,SA,55,35,57.14285714,20
Adelaide,K'gari (Fraser Island) Recreation Area,Fraser Coast,SA,717,927,-22.65372168,-210
Adelaide,Kalpowar State Forest,Bundaberg,SA,2,6,-66.66666667,-4
Adelaide,Keppel Bay Islands National Park,Central Queensland,SA,14,0,100,14
Adelaide,Koombooloomba National Park and Conservation Park,Tropical North Queensland,SA,0,3,-100,-3
Adelaide,Kroombit Tops National Park,Central Queensland,SA,0,4,-100,-4
Adelaide,Kutini-Payamu (Iron Range) National Park (CYPAL),Tropical North Queensland,SA,76,162,-53.08641975,-86
Adelaide,Lake Murphy Conservation Park,Central Queensland,SA,6,0,100,6
Adelaide,Lamington National Park,Gold Coast,SA,0,1,-100,-1
Adelaide,Lindeman Islands National Park,Mackay,SA,0,15,-100,-15
Adelaide,Lochern National Park,Outback,SA,1,2,-50,-1
Adelaide,Main Range Conservation Park,Queensland Country,SA,4,0,100,4
Adelaide,Main Range National Park,Brisbane,SA,35,20,75,15
Adelaide,"Main Range NP, Scenic Rim Trail",Brisbane,SA,0,12,-100,-12
Adelaide,Molle Islands National Park,Whitsundays,SA,4,27,-85.18518519,-23
Adelaide,Moogerah Peaks National Park,Brisbane,SA,33,63,-47.61904762,-30
Adelaide,Moorrinya National Park,Outback,SA,1,2,-50,-1
Adelaide,Mount Barney National Park,Gold Coast,SA,2,25,-92,-23
Adelaide,Mouth of Baffle Creek Conservation Park,Central Queensland,SA,4,0,100,4
Adelaide,Munga-Thirri National Park,Outback,SA,18,42,-57.14285714,-24
Adelaide,Ngalba Bulal National Park,Tropical North Queensland,SA,2,0,100,2
Adelaide,Nuga Nuga National Park,Central Queensland,SA,4,3,33.33333333,1
Adelaide,Oyala Thumotang National Park (CYPAL),Tropical North Queensland,SA,2,2,0,0
Adelaide,Paluma Range National Park,Townsville,SA,110,125,-12,-15
Adelaide,Porcupine Gorge National Park,Outback,SA,105,73,43.83561644,32
Adelaide,Rinyirru (Lakefield) National Park (CYPAL),Tropical North Queensland,SA,101,50,102,51
Adelaide,Russell River National Park,Tropical North Queensland,SA,0,3,-100,-3
Adelaide,Speewah Conservation Park,Tropical North Queensland,SA,29,29,0,0
Adelaide,Springbrook National Park,Gold Coast,SA,59,73,-19.17808219,-14
Adelaide,Sundown National Park,Darling Downs,SA,6,0,100,6
Adelaide,Sunshine Coast Hinterland Great Walk,Sunshine Coast,SA,6,5,20,1
Adelaide,Thrushton National Park,Darling Downs,SA,0,1,-100,-1
Adelaide,Tolderodden Conservation Park,Bundaberg,SA,4,0,100,4
Adelaide,Tuan State Forest,Fraser Coast,SA,31,19,63.15789474,12
Adelaide,Tully Gorge National Park,Tropical North Queensland,SA,15,22,-31.81818182,-7
Adelaide,Welford National Park,Outback,SA,5,24,-79.16666667,-19
Adelaide,White Mountains National Park,Townsville,SA,6,0,100,6
Adelaide,Whitsunday Islands National Park,Whitsundays,SA,17,113,-84.95575221,-96
Adelaide,Wongi State Forest,Fraser Coast,SA,7,6,16.66666667,1
Adelaide,Wooroonooran National Park,Tropical North Queensland,SA,97,59,64.40677966,38
Adelaide Hills,Abergowrie State Forest,Townsville,SA,0,3,-100,-3
Adelaide Hills,Amamoor State Forest and Forest Reserve,Sunshine Coast,SA,0,2,-100,-2
Adelaide Hills,Auburn River National Park,Bundaberg,SA,4,0,100,4
Adelaide Hills,Beerburrum and Beerwah State Forests,Sunshine Coast,SA,13,8,62.5,5
Adelaide Hills,Benarkin State Forest,Darling Downs,SA,2,0,100,2
Adelaide Hills,Blackbraes National Park,Tropical North Queensland,SA,0,12,-100,-12
Adelaide Hills,Blackdown Tableland National Park,Central Queensland,SA,17,12,41.66666667,5
Adelaide Hills,Bladensburg National Park,Outback,SA,4,24,-83.33333333,-20
Adelaide Hills,Boodjamulla (Lawn Hill) National Park,Tropical North Queensland,SA,0,34,-100,-34
Adelaide Hills,Bribie Island Recreation Area,Brisbane,SA,4,1,300,3
Adelaide Hills,Brooyar State Forest,"Launceston, Tamar and the North",SA,8,4,100,4
Adelaide Hills,Bunya Mountains National Park,Darling Downs,SA,17,12,41.66666667,5
Adelaide Hills,Burrum Coast National Park,Fraser Coast,SA,26,14,85.71428571,12
Adelaide Hills,Byfield Conservation Park,Central Queensland,SA,0,2,-100,-2
Adelaide Hills,Byfield State Forest,Central Queensland,SA,38,18,111.1111111,20
Adelaide Hills,Cape Hillsborough National Park,Mackay,SA,3,5,-40,-2
Adelaide Hills,Cape Palmerston National Park,Mackay,SA,2,0,100,2
Adelaide Hills,Carnarvon Great Walk,Central Queensland,SA,2,0,100,2
Adelaide Hills,Carnarvon National Park,Central Queensland,SA,21,18,16.66666667,3
Adelaide Hills,Cathu State Forest,Mackay,SA,0,2,-100,-2
Adelaide Hills,Conondale National Park,Sunshine Coast,SA,7,1,600,6
Adelaide Hills,Cooloola Recreation Area,Sunshine Coast,SA,24,7,242.8571429,17
Adelaide Hills,Crediton State Forest,Mackay,SA,0,2,-100,-2
Adelaide Hills,Crows Nest National Park,Darling Downs,SA,4,4,0,0
Adelaide Hills,Currawinya National Park,Outback,SA,6,2,200,4
Adelaide Hills,D'Aguilar National Park,Brisbane,SA,8,0,100,8
Adelaide Hills,Daintree National Park,Tropical North Queensland,SA,0,26,-100,-26
Adelaide Hills,Daintree National Park (CYPAL),Tropical North Queensland,SA,4,0,100,4
Adelaide Hills,Danbulla National Park,Tropical North Queensland,SA,21,34,-38.23529412,-13
Adelaide Hills,Davies Creek National Park,Tropical North Queensland,SA,3,0,100,3
Adelaide Hills,Deepwater National Park,Central Queensland,SA,10,8,25,2
Adelaide Hills,Diamantina National Park,Outback,SA,4,22,-81.81818182,-18
Adelaide Hills,Dinden National Park,Tropical North Queensland,SA,1,0,100,1
Adelaide Hills,Eungella National Park,Mackay,SA,15,16,-6.25,-1
Adelaide Hills,Eurimbula National Park,Central Queensland,SA,2,11,-81.81818182,-9
Adelaide Hills,Expedition National Park,Central Queensland,SA,1,3,-66.66666667,-2
Adelaide Hills,Frankland Group National Park,Tropical North Queensland,SA,4,0,100,4
Adelaide Hills,Girramay National Park,Tropical North Queensland,SA,20,16,25,4
Adelaide Hills,Girraween National Park,Darling Downs,SA,14,10,40,4
Adelaide Hills,Girringun National Park,Tropical North Queensland,SA,12,19,-36.84210526,-7
Adelaide Hills,Gloucester Islands National Park,Whitsundays,SA,0,16,-100,-16
Adelaide Hills,Heathlands Resources Reserve,Tropical North Queensland,SA,16,2,700,14
Adelaide Hills,Hell Hole Gorge National Park,Outback,SA,0,12,-100,-12
Adelaide Hills,"Hinchinbrook Island NP, Thorsborne Trail",Tropical North Queensland,SA,7,22,-68.18181818,-15
Adelaide Hills,Imbil State Forest,"Launceston, Tamar and the North",SA,0,4,-100,-4
Adelaide Hills,Inskip Peninsula Recreation Area,Sunshine Coast,SA,21,45,-53.33333333,-24
Adelaide Hills,Jardine River National Park,Tropical North Queensland,SA,4,49,-91.83673469,-45
Adelaide Hills,K'gari (Fraser Island) Great Walk,Fraser Coast,SA,0,14,-100,-14
Adelaide Hills,K'gari (Fraser Island) Recreation Area,Fraser Coast,SA,304,359,-15.32033426,-55
Adelaide Hills,Kalpowar State Forest,Bundaberg,SA,8,2,300,6
Adelaide Hills,Koombooloomba National Park and Conservation Park,Tropical North Queensland,SA,0,4,-100,-4
Adelaide Hills,Kroombit Tops National Park,Central Queensland,SA,0,5,-100,-5
Adelaide Hills,Kutini-Payamu (Iron Range) National Park (CYPAL),Tropical North Queensland,SA,4,152,-97.36842105,-148
