Cel Lga Name 1,Sub Region,Visit_Percent,Pct
Armidale Regional Council,Rest of Mid Coast,0.0001,0.01
Bulloo Shire,Rest of Mid Coast,0.0001,0.01
Burnie City Council,Rest of Mid Coast,0.0001,0.01
Byron Shire Council,Rest of Mid Coast,0.0001,0.01
City of Busselton,Rest of Mid Coast,0.0001,0.01
City of Fremantle,Rest of Mid Coast,0.0001,0.01
City of Kwinana,Rest of Mid Coast,0.0001,0.01
Derwent Valley Council,Rest of Mid Coast,0.0001,0.01
Dubbo Regional Council,Rest of Mid Coast,0.0001,0.01
Isaac Regional,Rest of Mid Coast,0.0001,0.01
Lismore City Council,Rest of Mid Coast,0.0001,0.01
Livingstone Shire,Rest of Mid Coast,0.0001,0.01
Lockyer Valley Regional,Rest of Mid Coast,0.0001,0.01
Loddon Shire,Rest of Mid Coast,0.0001,0.01
Moyne Shire,Rest of Mid Coast,0.0001,0.01
Northern Grampians Shire,Rest of Mid Coast,0.0001,0.01
Snowy Monaro Regional Council,Rest of Mid Coast,0.0001,0.01
Sorell Council,Rest of Mid Coast,0.0001,0.01
Southern Downs Regional,Rest of Mid Coast,0.0001,0.01
Un-Incorporated (Marrakai-Douglas Daly) Area,Rest of Mid Coast,0.0001,0.01
Wangaratta Rural City,Rest of Mid Coast,0.0001,0.01
Ballina Shire Council,Rest of Mid Coast,0.0001,0.01
Colac Otway Shire,Rest of Mid Coast,0.0001,0.01
Scenic Rim Regional,Rest of Mid Coast,0.0001,0.01
Shire of Serpentine-Jarrahdale,Rest of Mid Coast,0.0001,0.01
Town of Cambridge,Rest of Mid Coast,0.0001,0.01
West Arnhem Region,Rest of Mid Coast,0.0001,0.01
Wudinna District Council,Rest of Mid Coast,0.0001,0.01
Campaspe Shire,Rest of Mid Coast,0.0001,0.01
City of Nedlands,Rest of Mid Coast,0.0001,0.01
Clarence Valley Council,Rest of Mid Coast,0.0001,0.01
DC of Elliston,Rest of Mid Coast,0.0001,0.01
Goulburn Mulwaree Council,Rest of Mid Coast,0.0001,0.01
Griffith City Council,Rest of Mid Coast,0.0001,0.01
Hepburn Shire,Rest of Mid Coast,0.0001,0.01
Orange City Council,Rest of Mid Coast,0.0001,0.01
Shire of Esperance,Rest of Mid Coast,0.0001,0.01
Southern Grampians Shire,Rest of Mid Coast,0.0001,0.01
The DC of Peterborough,Rest of Mid Coast,0.0001,0.01
Barkly Region,Rest of Mid Coast,0.0001,0.01
Cessnock City Council,Rest of Mid Coast,0.0001,0.01
City of Belmont,Rest of Mid Coast,0.0001,0.01
Golden Plains Shire,Rest of Mid Coast,0.0001,0.01
Gympie Regional,Rest of Mid Coast,0.0001,0.01
Kingborough Council,Rest of Mid Coast,0.0001,0.01
Lithgow City Council,Rest of Mid Coast,0.0001,0.01
Swan Hill Rural City,Rest of Mid Coast,0.0001,0.01
The DC of Karoonda East Murray,Rest of Mid Coast,0.0001,0.01
The Flinders Ranges Council,Rest of Mid Coast,0.0001,0.01
Unincorporated,Rest of Mid Coast,0.0001,0.01
Wellington Shire,Rest of Mid Coast,0.0001,0.01
Western Downs Regional,Rest of Mid Coast,0.0001,0.01
Woden Valley,Rest of Mid Coast,0.0001,0.01
Baw Baw Shire,Rest of Mid Coast,0.0001,0.01
City of South Perth,Rest of Mid Coast,0.0001,0.01
Coffs Harbour City Council,Rest of Mid Coast,0.0001,0.01
Devonport City Council,Rest of Mid Coast,0.0001,0.01
Maranoa Regional,Rest of Mid Coast,0.0001,0.01
Port Macquarie-Hastings Council,Rest of Mid Coast,0.0001,0.01
Roper Gulf Region,Rest of Mid Coast,0.0001,0.01
Shoalhaven City Council,Rest of Mid Coast,0.0001,0.01
Southern Mallee DC,Rest of Mid Coast,0.0001,0.01
The DC of Kimba,Rest of Mid Coast,0.0001,0.01
Weston Creek,Rest of Mid Coast,0.0001,0.01
Whitsunday Regional,Rest of Mid Coast,0.0001,0.01
East Gippsland Shire,Rest of Mid Coast,0.0001,0.01
Hobart City Council,Rest of Mid Coast,0.0001,0.01
The DC of Coober Pedy,Rest of Mid Coast,0.0001,0.01
The DC of Tumby Bay,Rest of Mid Coast,0.0001,0.01
Wingecarribee Shire Council,Rest of Mid Coast,0.0001,0.01
Albury City Council,Rest of Mid Coast,0.0001,0.01
Bass Coast Shire,Rest of Mid Coast,0.0001,0.01
Gladstone Regional,Rest of Mid Coast,0.0001,0.01
Glenelg Shire,Rest of Mid Coast,0.0001,0.01
Macedon Ranges Shire,Rest of Mid Coast,0.0001,0.01
Wentworth Shire Council,Rest of Mid Coast,0.0001,0.01
Surf Coast Shire,Rest of Mid Coast,0.0001,0.01
The Council of the Municipality of Hunters Hill,Rest of Mid Coast,0.0001,0.01
The DC of Streaky Bay,Rest of Mid Coast,0.0001,0.01
Wodonga City,Rest of Mid Coast,0.0001,0.01
