suburbName actual,Month of Dates,Adr,Lenght Of Stay
Albany Creek,Jul-23,176.71,7.18
Albany Creek,Jun-23,149.13,4.68
Albany Creek,May-23,125.39,3.62
Albany Creek,Apr-23,135.97,3.89
Albany Creek,Mar-23,125.65,4.24
Albany Creek,Feb-23,128.09,8.56
Albany Creek,Jan-23,147,7.61
Albany Creek,Dec-22,165.64,4.96
Albany Creek,Nov-22,131.17,8.17
Albany Creek,Oct-22,153.08,6.89
Albany Creek,Sep-22,116.06,7.43
Albany Creek,Aug-22,117.92,4.16
Albany Creek,Jul-22,114.61,4.58
Albany Creek,Jun-22,76.17,14.53
Albany Creek,May-22,67.22,7.73
Albany Creek,Apr-22,68.95,5.85
Albany Creek,Mar-22,85.44,4.24
Albany Creek,Feb-22,134.17,5.33
Albany Creek,Jan-22,132.3,8.29
Albany Creek,Dec-21,137.39,6.45
Albany Creek,Nov-21,132.54,13.36
Albany Creek,Oct-21,67.74,4.53
Albany Creek,Sep-21,67.69,4
Albany Creek,Aug-21,69.94,4.86
Albany Creek,Jul-21,69.65,5.7
Arana Hills,Jul-23,294.84,5.55
Arana Hills,Jun-23,148.41,5.29
Arana Hills,May-23,281.06,4.73
Arana Hills,Apr-23,268.25,4.6
Arana Hills,Mar-23,293.96,9.33
Arana Hills,Feb-23,276.65,9.5
Arana Hills,Jan-23,269.19,3.83
Arana Hills,Dec-22,282.09,5.4
Arana Hills,Nov-22,70,5
Arana Hills,Oct-22,,
Arana Hills,Sep-22,,
Arana Hills,Aug-22,,
Arana Hills,Jul-22,,
Arana Hills,Jun-22,,
Arana Hills,May-22,,
Arana Hills,Apr-22,181.83,
Arana Hills,Mar-22,159.7,7.75
Arana Hills,Feb-22,185.78,10
Arana Hills,Jan-22,215.35,9
Arana Hills,Dec-21,189.45,4.43
Arana Hills,Nov-21,169.17,8
Arana Hills,Oct-21,186.73,3.6
Arana Hills,Sep-21,186.12,5.2
Arana Hills,Aug-21,185.37,2.67
Arana Hills,Jul-21,163.75,3.82
Armstrong Creek,Jul-23,120.82,2.75
Armstrong Creek,Jun-23,113.31,3.4
Armstrong Creek,May-23,111.49,2.71
Armstrong Creek,Apr-23,120.7,2.67
Armstrong Creek,Mar-23,114.85,4
Armstrong Creek,Feb-23,109.59,4
Armstrong Creek,Jan-23,122.24,2.5
Armstrong Creek,Dec-22,146.71,2.75
Armstrong Creek,Nov-22,125.41,2.33
Armstrong Creek,Oct-22,141.8,3.9
Armstrong Creek,Sep-22,131.67,2.54
Armstrong Creek,Aug-22,123.94,3
Armstrong Creek,Jul-22,126.97,2.47
Armstrong Creek,Jun-22,118.91,2.7
Armstrong Creek,May-22,115.5,3.14
Armstrong Creek,Apr-22,129.24,1.87
Armstrong Creek,Mar-22,112.92,2.33
Armstrong Creek,Feb-22,120.22,1.5
Armstrong Creek,Jan-22,122.17,1.59
Armstrong Creek,Dec-21,130.75,2
