Month of Month of Booking Date,Park_Tourism_Region,Year of Month of Booking Date,Visitors,month_year
December,All,2022,93054,Dec-22
November,All,2022,111035,Nov-22
October,All,2022,124876,Oct-22
September,All,2022,147845,Sep-22
August,All,2022,149858,Aug-22
July,All,2022,127975,Jul-22
June,All,2022,114471,Jun-22
May,All,2022,82749,May-22
April,All,2022,113032,Apr-22
December,All,2023,60918,Dec-23
November,All,2023,82576,Nov-23
October,All,2023,107250,Oct-23
September,All,2023,126364,Sep-23
August,All,2023,146478,Aug-23
July,All,2023,122336,Jul-23
June,All,2023,117658,Jun-23
May,All,2023,98937,May-23
April,All,2023,109244,Apr-23
March,All,2023,120517,Mar-23
February,All,2023,96981,Feb-23
January,All,2023,119195,Jan-23
March,All,2024,37574,Mar-24
February,All,2024,49712,Feb-24
January,All,2024,57883,Jan-24
April,Whitsundays,2022,1068,Apr-22
April,Tropical North Queensland,2022,15658,Apr-22
April,Townsville,2022,2060,Apr-22
April,Sunshine Coast,2022,28850,Apr-22
April,Outback,2022,2124,Apr-22
April,Mackay,2022,2777,Apr-22
April,"Launceston, Tamar and the North",2022,2192,Apr-22
April,Gold Coast,2022,1276,Apr-22
April,Fraser Coast,2022,32259,Apr-22
April,Darling Downs,2022,6510,Apr-22
April,Central Queensland,2022,9874,Apr-22
April,Bundaberg,2022,549,Apr-22
April,Brisbane,2022,7835,Apr-22
May,Whitsundays,2022,1150,May-22
May,Tropical North Queensland,2022,15853,May-22
May,Townsville,2022,1882,May-22
May,Sunshine Coast,2022,15922,May-22
May,Outback,2022,1858,May-22
May,Mackay,2022,2082,May-22
May,"Launceston, Tamar and the North",2022,1081,May-22
May,Gold Coast,2022,1163,May-22
May,Fraser Coast,2022,25571,May-22
May,Darling Downs,2022,2656,May-22
May,Central Queensland,2022,9371,May-22
May,Bundaberg,2022,142,May-22
May,Brisbane,2022,4018,May-22
June,Whitsundays,2022,1322,Jun-22
June,Tropical North Queensland,2022,18259,Jun-22
June,Townsville,2022,2996,Jun-22
June,Sunshine Coast,2022,27628,Jun-22
June,Outback,2022,3002,Jun-22
June,Mackay,2022,2763,Jun-22
June,"Launceston, Tamar and the North",2022,2472,Jun-22
June,Gold Coast,2022,1262,Jun-22
June,Fraser Coast,2022,31210,Jun-22
June,Darling Downs,2022,3734,Jun-22
June,Central Queensland,2022,10619,Jun-22
June,Bundaberg,2022,382,Jun-22
June,Brisbane,2022,8822,Jun-22
July,Whitsundays,2022,788,Jul-22
July,Tropical North Queensland,2022,19723,Jul-22
July,Townsville,2022,2930,Jul-22
July,Sunshine Coast,2022,28568,Jul-22
July,Outback,2022,3429,Jul-22
July,Mackay,2022,2168,Jul-22
July,"Launceston, Tamar and the North",2022,3669,Jul-22
July,Gold Coast,2022,1372,Jul-22
July,Fraser Coast,2022,43409,Jul-22
July,Darling Downs,2022,4178,Jul-22
July,Central Queensland,2022,10283,Jul-22
