Month of Month of Booking Date,Park,Park_Tourism_Region,Tr_Name,Year of Month of Booking Date,Visitors,month_year
April,Total,Tropical North Queensland,Yorke Peninsula,2022,10,Apr-22
April,Total,Central Queensland,Yorke Peninsula,2022,2,Apr-22
April,Total,Whitsundays,Yarra Valley and Dandenong Ranges,2022,96,Apr-22
April,Total,Tropical North Queensland,Yarra Valley and Dandenong Ranges,2022,185,Apr-22
April,Total,Townsville,Yarra Valley and Dandenong Ranges,2022,10,Apr-22
April,Total,Sunshine Coast,Yarra Valley and Dandenong Ranges,2022,91,Apr-22
April,Total,Outback,Yarra Valley and Dandenong Ranges,2022,28,Apr-22
April,Total,Mackay,Yarra Valley and Dandenong Ranges,2022,6,Apr-22
April,Total,Gold Coast,Yarra Valley and Dandenong Ranges,2022,6,Apr-22
April,Total,Fraser Coast,Yarra Valley and Dandenong Ranges,2022,587,Apr-22
April,Total,Darling Downs,Yarra Valley and Dandenong Ranges,2022,5,Apr-22
April,Total,Central Queensland,Yarra Valley and Dandenong Ranges,2022,29,Apr-22
April,Total,Tropical North Queensland,Wimmera,2022,6,Apr-22
April,Total,Tropical North Queensland,Whitsundays,2022,2,Apr-22
April,Total,Townsville,Whitsundays,2022,94,Apr-22
April,Total,Sunshine Coast,Whitsundays,2022,35,Apr-22
April,Total,Tropical North Queensland,Western Grampians,2022,20,Apr-22
April,Total,Outback,Western Grampians,2022,2,Apr-22
April,Total,Central Queensland,Western Grampians,2022,18,Apr-22
April,Total,Whitsundays,Tropical North Queensland,2022,8,Apr-22
April,Total,Tropical North Queensland,Tropical North Queensland,2022,7906,Apr-22
April,Total,Townsville,Tropical North Queensland,2022,225,Apr-22
April,Total,Sunshine Coast,Tropical North Queensland,2022,77,Apr-22
April,Total,Outback,Tropical North Queensland,2022,204,Apr-22
April,Total,Mackay,Tropical North Queensland,2022,38,Apr-22
April,Total,"Launceston, Tamar and the North",Tropical North Queensland,2022,2,Apr-22
April,Total,Gold Coast,Tropical North Queensland,2022,6,Apr-22
April,Total,Fraser Coast,Tropical North Queensland,2022,364,Apr-22
April,Total,Darling Downs,Tropical North Queensland,2022,37,Apr-22
April,Total,Central Queensland,Tropical North Queensland,2022,148,Apr-22
April,Total,Bundaberg,Tropical North Queensland,2022,3,Apr-22
April,Total,Brisbane,Tropical North Queensland,2022,27,Apr-22
April,Total,Whitsundays,Townsville,2022,16,Apr-22
April,Total,Tropical North Queensland,Townsville,2022,1217,Apr-22
April,Total,Townsville,Townsville,2022,1059,Apr-22
April,Total,Sunshine Coast,Townsville,2022,37,Apr-22
April,Total,Outback,Townsville,2022,212,Apr-22
April,Total,Mackay,Townsville,2022,128,Apr-22
April,Total,"Launceston, Tamar and the North",Townsville,2022,16,Apr-22
April,Total,Gold Coast,Townsville,2022,10,Apr-22
April,Total,Fraser Coast,Townsville,2022,193,Apr-22
April,Total,Darling Downs,Townsville,2022,14,Apr-22
April,Total,Central Queensland,Townsville,2022,197,Apr-22
April,Total,Bundaberg,Townsville,2022,16,Apr-22
April,Total,Brisbane,Townsville,2022,1,Apr-22
April,Total,Whitsundays,The Murray,2022,4,Apr-22
April,Total,Tropical North Queensland,The Murray,2022,8,Apr-22
April,Total,Sunshine Coast,The Murray,2022,91,Apr-22
April,Total,Outback,The Murray,2022,23,Apr-22
April,Total,"Launceston, Tamar and the North",The Murray,2022,6,Apr-22
April,Total,Fraser Coast,The Murray,2022,227,Apr-22
April,Total,Darling Downs,The Murray,2022,7,Apr-22
April,Total,Central Queensland,The Murray,2022,16,Apr-22
April,Total,Brisbane,The Murray,2022,10,Apr-22
April,Total,Whitsundays,Sydney,2022,63,Apr-22
April,Total,Tropical North Queensland,Sydney,2022,281,Apr-22
April,Total,Townsville,Sydney,2022,30,Apr-22
April,Total,Sunshine Coast,Sydney,2022,334,Apr-22
April,Total,Outback,Sydney,2022,107,Apr-22
