suburbName actual,Cel Lga Name 1,Month of Adjusted Dt,Pct,Percent
Albany Creek,Brisbane City,May-23,0.21223,21.22265749
Albany Creek,Brisbane City,Mar-23,0.09583,9.582531698
Albany Creek,Brisbane City,Jun-23,0.22187,22.18693741
Albany Creek,Brisbane City,Jul-23,0.16878,16.87798923
Albany Creek,Brisbane City,Jan-23,0.09810,9.809693795
Albany Creek,Brisbane City,Feb-23,0.08498,8.498489449
Albany Creek,Brisbane City,Apr-23,0.11822,11.82170093
Albany Creek,Bundaberg Regional,May-23,0.18088,18.08809747
Albany Creek,Bundaberg Regional,Mar-23,0.07779,7.778819119
Albany Creek,Bundaberg Regional,Jun-23,0.18932,18.93158388
Albany Creek,Bundaberg Regional,Jul-23,0.29241,29.24086223
Albany Creek,Bundaberg Regional,Jan-23,0.08247,8.24742268
Albany Creek,Bundaberg Regional,Feb-23,0.07873,7.872539831
Albany Creek,Bundaberg Regional,Apr-23,0.09841,9.840674789
Albany Creek,Cairns Regional,May-23,0.15941,15.94068582
Albany Creek,Cairns Regional,Mar-23,0.08619,8.619091752
Albany Creek,Cairns Regional,Jun-23,0.17794,17.79425394
Albany Creek,Cairns Regional,Jul-23,0.34476,34.47636701
Albany Creek,Cairns Regional,Jan-23,0.06209,6.209453197
Albany Creek,Cairns Regional,Feb-23,0.08156,8.155699722
Albany Creek,Cairns Regional,Apr-23,0.08804,8.804448563
Albany Creek,Fraser Coast Regional,May-23,0.18076,18.07553957
Albany Creek,Fraser Coast Regional,Mar-23,0.09622,9.622302158
Albany Creek,Fraser Coast Regional,Jun-23,0.18885,18.88489209
Albany Creek,Fraser Coast Regional,Jul-23,0.28597,28.5971223
Albany Creek,Fraser Coast Regional,Jan-23,0.07374,7.374100719
Albany Creek,Fraser Coast Regional,Feb-23,0.08273,8.273381295
Albany Creek,Fraser Coast Regional,Apr-23,0.09173,9.172661871
Albany Creek,Gold Coast City,May-23,0.18784,18.78404498
Albany Creek,Gold Coast City,Mar-23,0.08830,8.829731154
Albany Creek,Gold Coast City,Jun-23,0.20216,20.21613073
Albany Creek,Gold Coast City,Jul-23,0.26542,26.54190828
Albany Creek,Gold Coast City,Jan-23,0.07749,7.749077491
Albany Creek,Gold Coast City,Feb-23,0.08303,8.302583026
Albany Creek,Gold Coast City,Apr-23,0.09577,9.576524337
Albany Creek,Gympie Regional,May-23,0.16174,16.17440225
Albany Creek,Gympie Regional,Mar-23,0.08017,8.016877637
Albany Creek,Gympie Regional,Jun-23,0.20253,20.25316456
Albany Creek,Gympie Regional,Jul-23,0.25738,25.73839662
Albany Creek,Gympie Regional,Jan-23,0.10267,10.26722926
Albany Creek,Gympie Regional,Feb-23,0.09283,9.282700422
Albany Creek,Gympie Regional,Apr-23,0.10267,10.26722926
Albany Creek,Ipswich City,May-23,0.19975,19.97510186
Albany Creek,Ipswich City,Mar-23,0.10050,10.04979629
Albany Creek,Ipswich City,Jun-23,0.21378,21.37845179
Albany Creek,Ipswich City,Jul-23,0.20292,20.29198733
Albany Creek,Ipswich City,Jan-23,0.09507,9.506564056
Albany Creek,Ipswich City,Feb-23,0.08465,8.465368945
Albany Creek,Ipswich City,Apr-23,0.10333,10.33272974
Albany Creek,Logan City,May-23,0.19298,19.29759014
Albany Creek,Logan City,Mar-23,0.09602,9.602092285
Albany Creek,Logan City,Jun-23,0.21184,21.18438259
Albany Creek,Logan City,Jul-23,0.23463,23.46347842
Albany Creek,Logan City,Jan-23,0.08369,8.369138801
Albany Creek,Logan City,Feb-23,0.08378,8.378479357
Albany Creek,Logan City,Apr-23,0.09705,9.704838408
Albany Creek,Mackay Regional,May-23,0.15860,15.86021505
Albany Creek,Mackay Regional,Mar-23,0.07258,7.258064516
Albany Creek,Mackay Regional,Jun-23,0.17608,17.60752688
Albany Creek,Mackay Regional,Jul-23,0.34274,34.27419355
Albany Creek,Mackay Regional,Jan-23,0.07392,7.392473118
Albany Creek,Mackay Regional,Feb-23,0.09005,9.005376344
Albany Creek,Mackay Regional,Apr-23,0.08602,8.602150538
Albany Creek,Noosa Shire,May-23,0.19267,19.26691729
Albany Creek,Noosa Shire,Mar-23,0.08177,8.176691729
Albany Creek,Noosa Shire,Jun-23,0.23308,23.30827068
Albany Creek,Noosa Shire,Jul-23,0.24060,24.06015038
Albany Creek,Noosa Shire,Jan-23,0.08177,8.176691729
Albany Creek,Noosa Shire,Feb-23,0.07989,7.988721805
Albany Creek,Noosa Shire,Apr-23,0.09023,9.022556391
Albany Creek,Redland City,May-23,0.20091,20.09099181
Albany Creek,Redland City,Mar-23,0.08571,8.571428571
Albany Creek,Redland City,Jun-23,0.22530,22.52957234
Albany Creek,Redland City,Jul-23,0.23694,23.69426752
Albany Creek,Redland City,Jan-23,0.07734,7.734303913
Albany Creek,Redland City,Feb-23,0.08044,8.043676069
Albany Creek,Redland City,Apr-23,0.09336,9.335759782
Albany Creek,Scenic Rim Regional,May-23,0.18893,18.89290012
Albany Creek,Scenic Rim Regional,Mar-23,0.08785,8.784596871
Albany Creek,Scenic Rim Regional,Jun-23,0.19615,19.61492178
Albany Creek,Scenic Rim Regional,Jul-23,0.27557,27.55716005
Albany Creek,Scenic Rim Regional,Jan-23,0.08063,8.062575211
Albany Creek,Scenic Rim Regional,Feb-23,0.08183,8.182912154
Albany Creek,Scenic Rim Regional,Apr-23,0.08905,8.904933815
Albany Creek,Sunshine Coast Regional,May-23,0.19696,19.695633
Albany Creek,Sunshine Coast Regional,Mar-23,0.08866,8.866343185
Albany Creek,Sunshine Coast Regional,Jun-23,0.21251,21.25055139
Albany Creek,Sunshine Coast Regional,Jul-23,0.22419,22.41949713
Albany Creek,Sunshine Coast Regional,Jan-23,0.08370,8.370092633
Albany Creek,Sunshine Coast Regional,Feb-23,0.08679,8.678870754
Albany Creek,Sunshine Coast Regional,Apr-23,0.10719,10.71901191
Albany Creek,Toowoomba Regional,May-23,0.16369,16.36917719
Albany Creek,Toowoomba Regional,Mar-23,0.09229,9.229429691
Albany Creek,Toowoomba Regional,Jun-23,0.19460,19.46016543
Albany Creek,Toowoomba Regional,Jul-23,0.27384,27.38354375
Albany Creek,Toowoomba Regional,Jan-23,0.08751,8.750544188
Albany Creek,Toowoomba Regional,Feb-23,0.09795,9.795385285
Albany Creek,Toowoomba Regional,Apr-23,0.09012,9.011754462
Albany Creek,Townsville City,May-23,0.15065,15.06456241
Albany Creek,Townsville City,Mar-23,0.08106,8.106169297
Albany Creek,Townsville City,Jun-23,0.19082,19.08177905
Albany Creek,Townsville City,Jul-23,0.33214,33.21377331
Albany Creek,Townsville City,Jan-23,0.07174,7.173601148
Albany Creek,Townsville City,Feb-23,0.09039,9.038737446
Albany Creek,Townsville City,Apr-23,0.08321,8.321377331
Arana Hills,Brisbane City,May-23,0.21762,21.76215696
Arana Hills,Brisbane City,Mar-23,0.09335,9.334923622
Arana Hills,Brisbane City,Jun-23,0.22518,22.51827373
Arana Hills,Brisbane City,Jul-23,0.15843,15.84343678
Arana Hills,Brisbane City,Jan-23,0.10014,10.01444391
Arana Hills,Brisbane City,Feb-23,0.08112,8.111568258
Arana Hills,Brisbane City,Apr-23,0.12415,12.41519674
