suburbName actual,Cel Lga Name 1,Month of Adjusted Dt,Pct,Percent
Albany Creek,Brisbane City,Sep-22,0.04358,4.357599593
Albany Creek,Brisbane City,Sep-21,0.01247,1.247413355
Albany Creek,Brisbane City,Oct-22,0.04453,4.452718259
Albany Creek,Brisbane City,Oct-21,0.01256,1.255566383
Albany Creek,Brisbane City,Nov-22,0.04337,4.336634663
Albany Creek,Brisbane City,Nov-21,0.01244,1.2439192
Albany Creek,Brisbane City,May-23,0.10664,10.66377299
Albany Creek,Brisbane City,May-22,0.02236,2.236259235
Albany Creek,Brisbane City,Mar-23,0.04815,4.814945666
Albany Creek,Brisbane City,Mar-22,0.03204,3.204140186
Albany Creek,Brisbane City,Jun-23,0.11148,11.14829582
Albany Creek,Brisbane City,Jun-22,0.03151,3.150951381
Albany Creek,Brisbane City,Jul-23,0.08679,8.678704678
Albany Creek,Brisbane City,Jul-22,0.03500,3.499978647
Albany Creek,Brisbane City,Jul-21,0.01106,1.106482434
Albany Creek,Brisbane City,Jan-23,0.05002,5.002465321
Albany Creek,Brisbane City,Jan-22,0.02508,2.50841509
Albany Creek,Brisbane City,Feb-23,0.04270,4.270245717
Albany Creek,Brisbane City,Feb-22,0.02372,2.372143043
Albany Creek,Brisbane City,Dec-22,0.04841,4.840957709
Albany Creek,Brisbane City,Dec-21,0.02470,2.470367624
Albany Creek,Brisbane City,Aug-22,0.03437,3.436695616
Albany Creek,Brisbane City,Aug-21,0.01062,1.061834897
Albany Creek,Brisbane City,Apr-23,0.05940,5.940063594
Albany Creek,Brisbane City,Apr-22,0.02699,2.6994289
Albany Creek,Bundaberg Regional,Sep-22,0.04343,4.343275772
Albany Creek,Bundaberg Regional,Sep-21,0.01361,1.360544218
Albany Creek,Bundaberg Regional,Oct-22,0.03872,3.872318158
Albany Creek,Bundaberg Regional,Oct-21,0.01151,1.151229723
Albany Creek,Bundaberg Regional,Nov-22,0.03715,3.715332287
Albany Creek,Bundaberg Regional,Nov-21,0.01047,1.046572475
Albany Creek,Bundaberg Regional,May-23,0.10099,10.09942439
Albany Creek,Bundaberg Regional,May-22,0.02250,2.250130822
Albany Creek,Bundaberg Regional,Mar-23,0.04343,4.343275772
Albany Creek,Bundaberg Regional,Mar-22,0.02145,2.145473574
Albany Creek,Bundaberg Regional,Jun-23,0.10570,10.570382
Albany Creek,Bundaberg Regional,Jun-22,0.02616,2.616431188
Albany Creek,Bundaberg Regional,Jul-23,0.16588,16.58817373
Albany Creek,Bundaberg Regional,Jul-22,0.03035,3.035060178
Albany Creek,Bundaberg Regional,Jul-21,0.00994,0.994243851
Albany Creek,Bundaberg Regional,Jan-23,0.04867,4.866562009
Albany Creek,Bundaberg Regional,Jan-22,0.01988,1.988487703
Albany Creek,Bundaberg Regional,Feb-23,0.04396,4.395604396
Albany Creek,Bundaberg Regional,Feb-22,0.02093,2.09314495
Albany Creek,Bundaberg Regional,Dec-22,0.04082,4.081632653
Albany Creek,Bundaberg Regional,Dec-21,0.02250,2.250130822
Albany Creek,Bundaberg Regional,Aug-22,0.03297,3.296703297
Albany Creek,Bundaberg Regional,Aug-21,0.00837,0.83725798
Albany Creek,Bundaberg Regional,Apr-23,0.05495,5.494505495
Albany Creek,Bundaberg Regional,Apr-22,0.02564,2.564102564
Albany Creek,Cairns Regional,Sep-22,0.04501,4.501424501
Albany Creek,Cairns Regional,Sep-21,0.00855,0.854700855
Albany Creek,Cairns Regional,Oct-22,0.04103,4.102564103
Albany Creek,Cairns Regional,Oct-21,0.00285,0.284900285
Albany Creek,Cairns Regional,Nov-22,0.04046,4.045584046
Albany Creek,Cairns Regional,Nov-21,0.00627,0.626780627
Albany Creek,Cairns Regional,May-23,0.09801,9.800569801
Albany Creek,Cairns Regional,May-22,0.02051,2.051282051
Albany Creek,Cairns Regional,Mar-23,0.05299,5.299145299
Albany Creek,Cairns Regional,Mar-22,0.01368,1.367521368
Albany Creek,Cairns Regional,Jun-23,0.10940,10.94017094
Albany Creek,Cairns Regional,Jun-22,0.02279,2.279202279
Albany Creek,Cairns Regional,Jul-23,0.21595,21.5954416
Albany Creek,Cairns Regional,Jul-22,0.02222,2.222222222
Albany Creek,Cairns Regional,Jul-21,0.00570,0.56980057
Albany Creek,Cairns Regional,Jan-23,0.03818,3.817663818
Albany Creek,Cairns Regional,Jan-22,0.01994,1.994301994
Albany Creek,Cairns Regional,Feb-23,0.05014,5.014245014
Albany Creek,Cairns Regional,Feb-22,0.01140,1.13960114
Albany Creek,Cairns Regional,Dec-22,0.03761,3.760683761
Albany Creek,Cairns Regional,Dec-21,0.02222,2.222222222
Albany Creek,Cairns Regional,Aug-22,0.02849,2.849002849
Albany Creek,Cairns Regional,Aug-21,0.00456,0.455840456
Albany Creek,Cairns Regional,Apr-23,0.05413,5.413105413
Albany Creek,Cairns Regional,Apr-22,0.02792,2.792022792
Albany Creek,Fraser Coast Regional,Sep-22,0.04391,4.391217565
Albany Creek,Fraser Coast Regional,Sep-21,0.01347,1.347305389
Albany Creek,Fraser Coast Regional,Oct-22,0.04042,4.041916168
Albany Creek,Fraser Coast Regional,Oct-21,0.01098,1.097804391
Albany Creek,Fraser Coast Regional,Nov-22,0.03293,3.293413174
Albany Creek,Fraser Coast Regional,Nov-21,0.00848,0.848303393
Albany Creek,Fraser Coast Regional,May-23,0.10030,10.02994012
Albany Creek,Fraser Coast Regional,May-22,0.01597,1.596806387
