Suburb,Month of Dates,Occupancy Percent
Albany Creek,Jul-23,79.57
Albany Creek,Jun-23,83.33
Albany Creek,May-23,91.11
Albany Creek,Apr-23,92.59
Albany Creek,Mar-23,94.67
Albany Creek,Feb-23,97.14
Albany Creek,Jan-23,88.61
Albany Creek,Dec-22,85.13
Albany Creek,Nov-22,95.27
Albany Creek,Oct-22,91.62
Albany Creek,Sep-22,91.08
Albany Creek,Aug-22,93.84
Albany Creek,Jul-22,91.61
Albany Creek,Jun-22,71.13
Albany Creek,May-22,66.67
Albany Creek,Apr-22,61.54
Albany Creek,Mar-22,55.04
Albany Creek,Feb-22,78.86
Albany Creek,Jan-22,91.6
Albany Creek,Dec-21,75.48
Albany Creek,Nov-21,81.54
Albany Creek,Oct-21,75.53
Albany Creek,Sep-21,70
Albany Creek,Aug-21,74.19
Albany Creek,Jul-21,69.75
Arana Hills,Jul-23,64.21
Arana Hills,Jun-23,47.3
Arana Hills,May-23,59.09
Arana Hills,Apr-23,81.71
Arana Hills,Mar-23,82.09
Arana Hills,Feb-23,66.67
Arana Hills,Jan-23,45.92
Arana Hills,Dec-22,57.14
Arana Hills,Nov-22,23.08
Arana Hills,Oct-22,0
Arana Hills,Sep-22,0
Arana Hills,Aug-22,0
Arana Hills,Jul-22,0
Arana Hills,Jun-22,0
Arana Hills,May-22,0
Arana Hills,Apr-22,10
Arana Hills,Mar-22,71.15
Arana Hills,Feb-22,100
Arana Hills,Jan-22,85.29
Arana Hills,Dec-21,95
Arana Hills,Nov-21,60.53
Arana Hills,Oct-21,31.03
Arana Hills,Sep-21,34.67
Arana Hills,Aug-21,26.88
Arana Hills,Jul-21,44.09
Armstrong Creek,Jul-23,38.71
Armstrong Creek,Jun-23,25
Armstrong Creek,May-23,30.65
Armstrong Creek,Apr-23,31.67
Armstrong Creek,Mar-23,40.32
Armstrong Creek,Feb-23,21.43
Armstrong Creek,Jan-23,43.55
Armstrong Creek,Dec-22,13.24
Armstrong Creek,Nov-22,20
Armstrong Creek,Oct-22,20.16
Armstrong Creek,Sep-22,25.83
Armstrong Creek,Aug-22,30.65
Armstrong Creek,Jul-22,30.65
Armstrong Creek,Jun-22,21.67
Armstrong Creek,May-22,18.55
Armstrong Creek,Apr-22,25
Armstrong Creek,Mar-22,20.16
Armstrong Creek,Feb-22,21.43
Armstrong Creek,Jan-22,23.39
Armstrong Creek,Dec-21,24.11
Armstrong Creek,Nov-21,43.33
Armstrong Creek,Oct-21,59.68
Armstrong Creek,Sep-21,48.33
Armstrong Creek,Aug-21,52.94
Armstrong Creek,Jul-21,29.03
Banksia Beach,Jul-23,62.07
Banksia Beach,Jun-23,52.1
Banksia Beach,May-23,43.23
Banksia Beach,Apr-23,65.81
Banksia Beach,Mar-23,61.11
Banksia Beach,Feb-23,59.23
Banksia Beach,Jan-23,64.88
Banksia Beach,Dec-22,59.16
Banksia Beach,Nov-22,60.66
Banksia Beach,Oct-22,66.94
Banksia Beach,Sep-22,66.29
Banksia Beach,Aug-22,65.48
Banksia Beach,Jul-22,62.8
Banksia Beach,Jun-22,63.2
Banksia Beach,May-22,64.47
Banksia Beach,Apr-22,71.61
Banksia Beach,Mar-22,63.29
Banksia Beach,Feb-22,58.67
Banksia Beach,Jan-22,74.88
Banksia Beach,Dec-21,67.86
Banksia Beach,Nov-21,64.81
Banksia Beach,Oct-21,61.7
Banksia Beach,Sep-21,60.91
Banksia Beach,Aug-21,45.21
Banksia Beach,Jul-21,59.87
Beachmere,Jul-23,52.95
Beachmere,Jun-23,57.67
Beachmere,May-23,51.12
Beachmere,Apr-23,55.86
Beachmere,Mar-23,49.45
Beachmere,Feb-23,57.43
Beachmere,Jan-23,51.99
Beachmere,Dec-22,38.43
Beachmere,Nov-22,43.74
Beachmere,Oct-22,49.76
Beachmere,Sep-22,53.4
Beachmere,Aug-22,50.25
Beachmere,Jul-22,51.06
Beachmere,Jun-22,57.72
Beachmere,May-22,52.45
Beachmere,Apr-22,60.85
Beachmere,Mar-22,53.56
Beachmere,Feb-22,55.43
Beachmere,Jan-22,75.62
Beachmere,Dec-21,64.07
Beachmere,Nov-21,61.59
Beachmere,Oct-21,55.17
Beachmere,Sep-21,62.44
Beachmere,Aug-21,38.58
Beachmere,Jul-21,54.34
Bellara,Jul-23,56.72
Bellara,Jun-23,56.42
Bellara,May-23,37.27
Bellara,Apr-23,49.31
Bellara,Mar-23,46.25
Bellara,Feb-23,42.99
Bellara,Jan-23,51.21
Bellara,Dec-22,61.72
Bellara,Nov-22,69.87
Bellara,Oct-22,70.34
Bellara,Sep-22,71.49
Bellara,Aug-22,71.88
Bellara,Jul-22,78.5
Bellara,Jun-22,67.48
Bellara,May-22,63.01
Bellara,Apr-22,72.81
Bellara,Mar-22,66.62
Bellara,Feb-22,61.12
Bellara,Jan-22,72.34
Bellara,Dec-21,63.99
Bellara,Nov-21,59.59
