Visitor Lga Name 1,Park Tourism Region,Park,last_yr,this_yr,percent_change
Adelaide Hills Council,All,Abergowrie State Forest,1,2,100
Adelaide Hills Council,All,Auburn River National Park,0,4,100
Adelaide Hills Council,All,Beerburrum and Beerwah State Forests,8,13,62.5
Adelaide Hills Council,All,Benarkin State Forest,0,2,100
Adelaide Hills Council,All,Blackbraes National Park,11,0,-100
Adelaide Hills Council,All,Blackdown Tableland National Park,0,21,100
Adelaide Hills Council,All,Bladensburg National Park,24,4,-83.33333333
Adelaide Hills Council,All,Boodjamulla (Lawn Hill) National Park,8,0,-100
Adelaide Hills Council,All,Bribie Island Recreation Area,0,2,100
Adelaide Hills Council,All,Brooyar State Forest,0,10,100
Adelaide Hills Council,All,Bunya Mountains National Park,7,21,200
Adelaide Hills Council,All,Burrum Coast National Park,0,26,100
Adelaide Hills Council,All,Byfield Conservation Park,0,2,100
Adelaide Hills Council,All,Byfield State Forest,8,24,200
Adelaide Hills Council,All,Cape Hillsborough National Park,0,8,100
Adelaide Hills Council,All,Cape Palmerston National Park,0,2,100
Adelaide Hills Council,All,Carnarvon Great Walk,0,2,100
Adelaide Hills Council,All,Carnarvon National Park,5,27,440
Adelaide Hills Council,All,Conondale National Park,1,7,600
Adelaide Hills Council,All,Cooloola Recreation Area,2,23,1050
Adelaide Hills Council,All,Crediton State Forest,0,2,100
Adelaide Hills Council,All,Crows Nest National Park,0,4,100
Adelaide Hills Council,All,Currawinya National Park,2,6,200
Adelaide Hills Council,All,Daintree National Park,16,0,-100
Adelaide Hills Council,All,Daintree National Park (CYPAL),0,4,100
Adelaide Hills Council,All,Danbulla National Park,18,9,-50
Adelaide Hills Council,All,Davies Creek National Park,0,3,100
Adelaide Hills Council,All,Deepwater National Park,4,14,250
Adelaide Hills Council,All,Diamantina National Park,22,4,-81.81818182
Adelaide Hills Council,All,Dinden National Park,0,1,100
Adelaide Hills Council,All,Eungella National Park,14,6,-57.14285714
Adelaide Hills Council,All,Eurimbula National Park,6,3,-50
Adelaide Hills Council,All,Expedition National Park,2,1,-50
Adelaide Hills Council,All,Frankland Group National Park,0,4,100
Adelaide Hills Council,All,Girramay National Park,4,22,450
Adelaide Hills Council,All,Girraween National Park,10,16,60
Adelaide Hills Council,All,Girringun National Park,2,8,300
Adelaide Hills Council,All,Gloucester Islands National Park,16,0,-100
Adelaide Hills Council,All,Heathlands Resources Reserve,2,5,150
Adelaide Hills Council,All,Imbil State Forest,4,0,-100
Adelaide Hills Council,All,Inskip Peninsula Recreation Area,63,12,-80.95238095
Adelaide Hills Council,All,Jardine River National Park,46,19,-58.69565217
Adelaide Hills Council,All,K'gari (Fraser Island) Great Walk,2,0,-100
Adelaide Hills Council,All,K'gari (Fraser Island) Recreation Area,170,298,75.29411765
Adelaide Hills Council,All,Kalpowar State Forest,0,8,100
Adelaide Hills Council,All,Koombooloomba National Park and Conservation Park,4,0,-100
Adelaide Hills Council,All,Kroombit Tops National Park,0,3,100
Adelaide Hills Council,All,Kutini-Payamu (Iron Range) National Park (CYPAL),34,12,-64.70588235
Adelaide Hills Council,All,Lake Murphy Conservation Park,0,2,100
Adelaide Hills Council,All,Main Range National Park,2,0,-100
Adelaide Hills Council,All,Moogerah Peaks National Park,0,4,100
Adelaide Hills Council,All,Moorrinya National Park,0,1,100
Adelaide Hills Council,All,Munga-Thirri National Park,5,0,-100
Adelaide Hills Council,All,Orpheus Island National Park,3,0,-100
Adelaide Hills Council,All,Palmer Goldfield Resources Reserve,2,0,-100
Adelaide Hills Council,All,Paluma Range National Park,20,12,-40
Adelaide Hills Council,All,Porcupine Gorge National Park,18,20,11.11111111
Adelaide Hills Council,All,Rinyirru (Lakefield) National Park (CYPAL),11,14,27.27272727
Adelaide Hills Council,All,Speewah Conservation Park,4,0,-100
Adelaide Hills Council,All,Springbrook National Park,24,0,-100
Adelaide Hills Council,All,Tolderodden Conservation Park,0,3,100
Adelaide Hills Council,All,Tuan State Forest,0,10,100
Adelaide Hills Council,All,Tully Gorge National Park,4,3,-25
Adelaide Hills Council,All,White Mountains National Park,2,0,-100
Adelaide Hills Council,All,Wongi State Forest,0,4,100
Adelaide Hills Council,All,Wooroonooran National Park,4,5,25
Albury City Council,All,Bunya Mountains National Park,3,0,-100
Albury City Council,All,Byfield National Park,0,4,100
Albury City Council,All,Cape Hillsborough National Park,1,0,-100
Albury City Council,All,Cooloola Recreation Area,4,0,-100
Albury City Council,All,Currawinya National Park,0,12,100
Albury City Council,All,Daintree National Park,3,0,-100
Albury City Council,All,Deepwater National Park,4,0,-100
Albury City Council,All,Eungella National Park,2,0,-100
Albury City Council,All,Girramay National Park,3,3,0
Albury City Council,All,Girraween National Park,3,0,-100
Albury City Council,All,Girringun National Park,4,0,-100
Albury City Council,All,Inskip Peninsula Recreation Area,13,7,-46.15384615
Albury City Council,All,Jardine River National Park,2,0,-100
Albury City Council,All,K'gari (Fraser Island) Recreation Area,36,363,908.3333333
Albury City Council,All,Rinyirru (Lakefield) National Park (CYPAL),4,0,-100
Albury City Council,All,Springbrook National Park,2,0,-100
Albury City Council,All,Tuan State Forest,22,0,-100
Albury City Council,All,Woody Island,0,2,100
Alexandrina Council,All,Abergowrie State Forest,2,1,-50
Alexandrina Council,All,Amamoor State Forest and Forest Reserve,0,14,100
Alexandrina Council,All,Beerburrum and Beerwah State Forests,17,3,-82.35294118
Alexandrina Council,All,Benarkin State Forest,0,2,100
Alexandrina Council,All,Blackdown Tableland National Park,4,3,-25
Alexandrina Council,All,Bladensburg National Park,8,0,-100
Alexandrina Council,All,Boodjamulla (Lawn Hill) National Park,49,0,-100
Alexandrina Council,All,Bribie Island Recreation Area,0,4,100
Alexandrina Council,All,Brooyar State Forest,0,16,100
Alexandrina Council,All,Bunya Mountains National Park,6,32,433.3333333
Alexandrina Council,All,Burrum Coast National Park,4,34,750
Alexandrina Council,All,Byfield National Park,0,1,100
Alexandrina Council,All,Byfield State Forest,27,25,-7.407407407
Alexandrina Council,All,Cape Hillsborough National Park,26,21,-19.23076923
Alexandrina Council,All,Cape Palmerston National Park,0,1,100
Alexandrina Council,All,Capricornia Cays National Park,32,0,-100
Alexandrina Council,All,Carnarvon Great Walk,10,12,20
Alexandrina Council,All,Carnarvon National Park,11,25,127.2727273
Alexandrina Council,All,Conondale National Park,0,20,100
