Merchant Category Code,Origin State,Pct,Percentage
Bars/Taverns/Lounges/Discos,Australian Capital Territory,0.02060,2.06
Bars/Taverns/Lounges/Discos,New South Wales,0.18380,18.38
Bars/Taverns/Lounges/Discos,Northern Territory,0.03980,3.98
Bars/Taverns/Lounges/Discos,Queensland,0.12680,12.68
Bars/Taverns/Lounges/Discos,South Australia,0.30190,30.19
Bars/Taverns/Lounges/Discos,Tasmania,0.01570,1.57
Bars/Taverns/Lounges/Discos,Victoria,0.24800,24.8
Bars/Taverns/Lounges/Discos,Western Australia,0.06330,6.33
Department Stores,Australian Capital Territory,0.01870,1.87
Department Stores,New South Wales,0.13810,13.81
Department Stores,Northern Territory,0.06330,6.33
Department Stores,Queensland,0.09340,9.34
Department Stores,South Australia,0.46750,46.75
Department Stores,Tasmania,0.01520,1.52
Department Stores,Victoria,0.16230,16.23
Department Stores,Western Australia,0.04160,4.16
Discount Stores,Australian Capital Territory,0.01050,1.05
Discount Stores,New South Wales,0.09660,9.66
Discount Stores,Northern Territory,0.03710,3.71
Discount Stores,Queensland,0.07450,7.45
Discount Stores,South Australia,0.62940,62.94
Discount Stores,Tasmania,0.00940,0.94
Discount Stores,Victoria,0.11000,11
Discount Stores,Western Australia,0.03250,3.25
Fast Food Restaurants,Australian Capital Territory,0.01850,1.85
Fast Food Restaurants,New South Wales,0.15120,15.12
Fast Food Restaurants,Northern Territory,0.03930,3.93
Fast Food Restaurants,Queensland,0.10650,10.65
Fast Food Restaurants,South Australia,0.39160,39.16
Fast Food Restaurants,Tasmania,0.01460,1.46
Fast Food Restaurants,Victoria,0.22900,22.9
Fast Food Restaurants,Western Australia,0.04920,4.92
Furniture/Equip Stores,Australian Capital Territory,0.01390,1.39
Furniture/Equip Stores,New South Wales,0.10680,10.68
Furniture/Equip Stores,Northern Territory,0.04920,4.92
Furniture/Equip Stores,Queensland,0.07670,7.67
Furniture/Equip Stores,South Australia,0.59530,59.53
Furniture/Equip Stores,Tasmania,0.01140,1.14
Furniture/Equip Stores,Victoria,0.11670,11.67
Furniture/Equip Stores,Western Australia,0.03000,3
Grocery Stores/Supermarkets,Australian Capital Territory,0.01450,1.45
Grocery Stores/Supermarkets,New South Wales,0.12150,12.15
Grocery Stores/Supermarkets,Northern Territory,0.03690,3.69
Grocery Stores/Supermarkets,Queensland,0.20790,20.79
Grocery Stores/Supermarkets,South Australia,0.35190,35.19
Grocery Stores/Supermarkets,Tasmania,0.01280,1.28
