Origin SA3,Month of Purchase Month (copy),Pct,Percent_Change
Adelaide City,Jan-22,0.0033000,0.33
Adelaide City,Feb-22,0.0022000,0.22
Adelaide City,Mar-22,0.0074000,0.74
Adelaide City,Apr-22,0.0298000,2.98
Adelaide City,May-22,0.0622000,6.22
Adelaide City,Jun-22,0.1249000,12.49
Adelaide City,Jul-22,0.2602000,26.02
Adelaide City,Aug-22,0.0878000,8.78
Adelaide City,Sep-22,0.0691000,6.91
Adelaide City,Oct-22,0.1339000,13.39
Adelaide City,Nov-22,0.0179000,1.79
Adelaide City,Dec-22,0.0066000,0.66
Adelaide City,Jan-23,0.0776000,7.76
Adelaide City,Feb-23,0.0361000,3.61
Adelaide City,Mar-23,0.0166000,1.66
Adelaide City,Apr-23,0.0227000,2.27
Adelaide City,May-23,0.0417000,4.17
Adelaide Hills,Jan-22,0.0044000,0.44
Adelaide Hills,Feb-22,0.0023000,0.23
Adelaide Hills,Mar-22,0.0084000,0.84
Adelaide Hills,Apr-22,0.0623000,6.23
Adelaide Hills,May-22,0.0583000,5.83
Adelaide Hills,Jun-22,0.1762000,17.62
Adelaide Hills,Jul-22,0.2197000,21.97
Adelaide Hills,Aug-22,0.1921000,19.21
Adelaide Hills,Sep-22,0.0980000,9.8
Adelaide Hills,Oct-22,0.0732000,7.32
Adelaide Hills,Nov-22,0.0133000,1.33
Adelaide Hills,Dec-22,0.0028000,0.28
Adelaide Hills,Jan-23,0.0222000,2.22
Adelaide Hills,Feb-23,0.0104000,1.04
Adelaide Hills,Mar-23,0.0054000,0.54
Adelaide Hills,Apr-23,0.0195000,1.95
Adelaide Hills,May-23,0.0315000,3.15
Albany,Jan-22,0.0351000,3.51
Albany,Feb-22,0.0270000,2.7
Albany,Mar-22,0.0304000,3.04
Albany,Apr-22,0.0417000,4.17
Albany,May-22,0.0737000,7.37
Albany,Jun-22,0.1134000,11.34
Albany,Jul-22,0.1839000,18.39
Albany,Aug-22,0.1456000,14.56
Albany,Sep-22,0.0921000,9.21
Albany,Oct-22,0.0466000,4.66
